id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
609,2021-08-31 00:00:00,181.375,,163.44
610,2021-09-01 00:00:00,134.5,,82.245
611,2021-09-02 00:00:00,181.25,,224.585
612,2021-09-03 00:00:00,221.7083333333,,224.53
613,2021-09-04 00:00:00,183.75,,180.715
614,2021-09-05 00:00:00,220.5833333333,,207.205
615,2021-09-06 00:00:00,194.375,224.7166666667,194.69
616,2021-09-07 00:00:00,212.5,217.2216666667,202.3
617,2021-09-08 00:00:00,212.25,,207.885
618,2021-09-09 00:00:00,161.625,,114.33
619,2021-09-10 00:00:00,106.4166666667,,95.56
620,2021-09-11 00:00:00,110.9583333333,,101.27
621,2021-09-12 00:00:00,120.2916666667,,184.78
622,2021-09-13 00:00:00,134.7083333333,,177.55
623,2021-09-14 00:00:00,137.1666666667,,96.15
624,2021-09-15 00:00:00,132.5416666667,,53.495
625,2021-09-16 00:00:00,158.4583333333,,140.02
626,2021-09-17 00:00:00,157.2916666667,,163.565
627,2021-09-18 00:00:00,143.7916666667,,182.72
628,2021-09-19 00:00:00,150.75,,158.5
629,2021-09-20 00:00:00,164.4166666667,,162.825
630,2021-09-21 00:00:00,166.375,,165.91
631,2021-09-22 00:00:00,175.4166666667,,167.875
632,2021-09-23 00:00:00,156.0833333333,,180.98
633,2021-09-24 00:00:00,117.875,,85.11
634,2021-09-25 00:00:00,168,,172.39
635,2021-09-26 00:00:00,106.375,,84.04
636,2021-09-27 00:00:00,54.5833333333,,54.76
637,2021-09-28 00:00:00,128.8333333333,,132.69
638,2021-09-29 00:00:00,111,,112.55
639,2021-09-30 00:00:00,72.4166666667,,108.44
640,2021-10-01 00:00:00,65.1666666667,,121.9
641,2021-10-02 00:00:00,47.5,,77.25
642,2021-10-03 00:00:00,33.9583333333,,23.65
643,2021-10-04 00:00:00,138.4583333333,,140.77
644,2021-10-05 00:00:00,63.875,,78.675
645,2021-10-06 00:00:00,46.625,,38.93
646,2021-10-07 00:00:00,108.4166666667,,90.625
647,2021-10-08 00:00:00,137.5833333333,,154.05
648,2021-10-09 00:00:00,143.0833333333,,151.75
649,2021-10-10 00:00:00,89.75,,142.005
650,2021-10-11 00:00:00,85,,69.02
651,2021-10-12 00:00:00,44.2083333333,,29.41
652,2021-10-13 00:00:00,77.25,,68.62
